,Link,Name,Description,Price,Discounted_Price
133,https://www.nike.com/in/t/sportswear-over-oversized-cardigan-T5dSRM/FZ4735-133,Nike Sportswear,Women's Over-Oversized Cardigan,MRP : ₹ 4 295.00,₹ 4 077.00
134,https://www.nike.com/in/t/sportswear-sleeveless-jersey-wave-dye-top-2rpDZk/DV7925-113,Nike Sportswear,Women's Sleeveless Jersey Wave Dye Top,MRP : ₹ 3 295.00,₹ 3 127.00
135,https://www.nike.com/in/t/jordan-heritage-t-shirt-KWjP5M/FN5424-010,Jordan Heritage,Women's T-shirt,MRP : ₹ 2 295.00,₹ 2 177.00
136,https://www.nike.com/in/t/sportswear-chill-knit-slim-long-sleeve-cropped-jumper-1-2-zip-top-kmMKXD/FN4690-104,Nike Sportswear Chill Knit,Women's Slim Long-Sleeve Cropped Jumper 1/2-Zip Top,MRP : ₹ 4 995.00,₹ 4 747.00
137,https://www.nike.com/in/t/flyknit-bloom-shoes-xQ1Jdr/FD2149-200,Nike Flyknit Bloom,Women's Shoes,MRP : ₹ 13 995.00,₹ 13 297.00
138,https://www.nike.com/in/t/lunar-roam-shoes-czbgcZ/HJ8999-100,Nike Lunar Roam,Men's Shoes,MRP : ₹ 13 995.00,₹ 13 297.00
139,https://www.nike.com/in/t/jordan-tank-gT4vLx/DX4700-607,Jordan,Women's Tank,MRP : ₹ 2 295.00,₹ 2 177.00
140,https://www.nike.com/in/t/air-max-plus-shoes-gPHkkf/FV8480-001,Nike Air Max Plus,Women's Shoes,MRP : ₹ 16 995.00,₹ 16 147.00
141,https://www.nike.com/in/t/jordan-renegade-jacket-S26CkB/FN5674-133,Jordan Renegade,Women's Jacket,MRP : ₹ 10 995.00,₹ 10 447.00
142,https://www.nike.com/in/t/flyknit-haven-shoes-Rl3vMk/FD2148-001,Nike Flyknit Haven,Women's Shoes,MRP : ₹ 10 795.00,₹ 10 257.00
143,https://www.nike.com/in/t/sportswear-knit-trousers-l2TQxh/HF4608-276,Nike Sportswear,Women's Knit Trousers,MRP : ₹ 4 295.00,₹ 4 077.00
144,https://www.nike.com/in/t/air-older-french-terry-trousers-66jvmM/FN8612-208,Nike Air,Older Kids' (Girls') French Terry Trousers,MRP : ₹ 3 495.00,₹ 3 317.00
145,https://www.nike.com/in/t/jordan-one-take-5-quai-54-pf-basketball-shoes-FqsGlx/HF0017-100,Jordan One Take 5 Quai 54 PF,Basketball Shoes,MRP : ₹ 8 695.00,₹ 8 257.00
